Number,Variable name,unit/value,Difficulty level,domain,Variable description
1,Electron density in the solar wind,number/cm3,simple,extraterrestrial environment,Density (particle per cm3) of electrons measured in the Solar Wind.
2,Air daily maximum temperature,Celsius degree,simple,atmosphere,"Temperature of the air in a height of 1.7 meter, daily maximum"
3,Cloud cover,controlled list,simple,atmosphere,The amount of cloudiness or clear sky at a study site.
4,Atmospheric boundary layer heights,height range,advanced,atmosphere,Identification of height-range above valley floor influenced by boundary layer air/free troposphere.
5,Atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol,dimensionless,advanced,atmosphere,"(CF standard name) The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path. The atmosphere optical thickness applies to radiation passing through the entire atmosphere. A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ""Ambient_aerosol"" means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ""Ambient aerosol particles"" are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase."
6,mass_flux_of_carbon_into_soil_from_vegetation_due_to_senescence,kg m-2 s-1,advanced,terrestrial ecosystem,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Vegetation"" means any living plants e.g. trees, shrubs, grass. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. The term ""senescence"" means loss of living biomass excluding plant death, e.g. leaf drop and other seasonal effects. The term refers to changes in the whole plant and is not confined only to leaf drop."
7,maximum trunk char height,cm,simple,terrestrial ecosystem,Trunk char height is a measure of the extent of fire height above ground which is measured from the base to the highest point of fire occurrence on the tree trunk. Maximum char height is measured at the community level using a 360° sweep at each sampling location.
8,coarse woody debris abundance per hectare,m2/hectare,advanced,terrestrial ecosystem,CWD abundance per hectare (m2/hectare) is the abundance of CWD measured from all the plots/transects scaled to a hectare (100 x 100 m). They are calculated using the formula (see https://www.sciencedirect.com/science/article/pii/S037811270900783X)
9,Foliage projective cover,percentage,advanced,terrestrial ecosystem,The proportion of the ground area covered by foliage (or photosynthetic tissue) held in a vertical plane. Foliage Projective Cover is usually expressed as the percentage of ground covered by foliage and can be separated according to vegetation strata.
10,Peak ground acceleration,m/s2,simple,solid earth,"Peak acceleration measured on the earth surface when facing seismic events, like earthquakes."
11,Strike of bedding,degree,advanced,solid earth,"Geographic azimuth (relative to true north) at a point observation location, of a horizontal line contained in a sedimentary rock bedding surface.  The bedding surface must not be horizontal; the azimuth is reported such that the dip direction of the inclined bedding is to the right when facing in the azimuth direction. "
12,Probablity of occurence of habitat,percentage,simple,biodiversity,"Part of terrestrial Ecosystem distribution of terrestrial EUNIS Habitats EBV, probability of occurence of EUNIS habitats within contiguous spatial units (grid cells of 100x100 m) across the EU over 1 year time.

https://github.com/EuropaBON/EBV-Descriptions/wiki/Terrestrial-Ecosystem-distribution-of-terrestrial-EUNIS-Habitats"
13,Distance to nearest neighbour habitat patch,meter,advanced,biodiversity,"This variable is part of the EBV Connectivity of terrestrial ecosytem habitat types and helps to measure the degree of connection of EUNIS habitats within a landsacpe,  in terms of their spatial distribution. https://github.com/EuropaBON/EBV-Descriptions/wiki/Terrestrial-Connectivity-of-terrestrial-ecosystem-habitat-types"
14,Feral-free enclosure area,ha,advanced,biology,The total area (in ha) of feral-free enclosures. See https://linked.data.gov.au/def/nrm/d936bfd5-d2f9-5107-bbf7-2bd18bbab42b
15,"Foraminifera, planktic, size ",µm,simple,biology,Size of planktic foraminifers in surface sediments
16,Standard metabolic rate in mg of Oxygen per hour,mg/hour,advanced,biology,"The measure of an ectotherm animal's baseline metabolic rate (i.e. non-active, non-stressed) measured by the milligrams of oxygen consumed in a period of time of one hour."
17,Docosahexaenoic acid content per dry weight (DHA content/ C22:6 n-3 content) ,μg/100 μg,advanced,biology,The amount of docosahexaenoic acid relative to dry weight in an individual.
18,Biological sex,controlled list,advanced,biology,Biological sex [female | male | intersex | unknown]
19,Weight specific-ingestion Carbon rate at 15 °C,μg/mgh,advanced,biology,The amount of carbon consumed by an organism at non-limiting concentration of food relative to the individual dry weight measured at 15°C. It is expressed as μg C mg DW−1 h−1
